"","year","title","clean_test","binary","genre","imdb_rating","metascore","country","rated","budget_2013","clean_genre","clean_country"
"20",2013,"Ender&#39;s Game","men","FAIL",NA,NA,NA,NA,NA,110000000,NA,NA
"21",2013,"Epic","ok","PASS","Animation, Adventure, Family",6.7,52,"USA","PG",100000000,"Animation","USA"
"22",2013,"Escape from Planet Earth","ok","PASS","Animation, Adventure, Comedy",5.9,35,"USA, Canada","PG",40000000,"Animation","USA"
"23",2013,"Escape Plan","men","FAIL","Action, Mystery, Thriller",6.8,49,"USA","R",70000000,"Action","USA"
"24",2013,"Evil Dead","ok","PASS","Horror",6.5,57,"USA","R",17000000,"Horror","USA"
"25",2013,"Fast and Furious 6","ok","PASS",NA,NA,NA,NA,NA,160000000,NA,NA
"26",2013,"Frozen","ok","PASS","Animation, Adventure, Comedy",7.9,74,"USA","PG",150000000,"Animation","USA"
"27",2013,"G.I. Joe: Retaliation","ok","PASS","Action, Adventure, Sci-Fi",5.9,41,"USA","PG-13",140000000,"Action","USA"
"28",2013,"Gangster Squad","notalk","FAIL","Action, Crime, Drama",6.8,40,"USA","R",60000000,"Action","USA"
"29",2013,"Gloria","ok","PASS","Comedy, Drama",7,83,"Chile, Spain","R",30000000,"Comedy","Chile"
"30",2013,"Gravity","nowomen","FAIL","Drama, Sci-Fi, Thriller",8.2,96,"USA, UK","PG-13",110000000,"Drama","USA"
"31",2013,"Grown Ups 2","men","FAIL","Comedy",5.4,19,"USA","PG-13",80000000,"Comedy","USA"
"32",2013,"Hansel &amp; Gretel: Witch Hunters","ok","PASS",NA,NA,NA,NA,NA,50000000,NA,NA
"33",2013,"Her","men","FAIL","Drama, Romance, Sci-Fi",8.3,90,"USA","R",23000000,"Drama","USA"
"34",2013,"Identity Thief","men","FAIL","Comedy, Crime",5.7,35,"USA","R",35000000,"Comedy","USA"
"35",2013,"Insidious: Chapter 2","men","FAIL","Horror, Thriller",6.7,40,"USA, Canada","PG-13",5000000,"Horror","USA"
"36",2013,"Jack the Giant Slayer","nowomen","FAIL","Adventure, Fantasy",6.3,51,"USA","PG-13",195000000,"Adventure","USA"
"37",2013,"Kick-Ass 2","ok","PASS","Action, Comedy, Crime",6.8,41,"USA, UK","R",28000000,"Action","USA"
"38",2013,"Last Vegas","notalk","FAIL","Comedy",6.7,48,"USA","PG-13",28000000,"Comedy","USA"
"39",2013,"Lee Daniels&#39; The Butler","ok","PASS",NA,NA,NA,NA,NA,30000000,NA,NA
"40",2013,"Machete Kills","ok","PASS","Action, Comedy, Crime",5.8,41,"Russia, USA","R",2000000,"Action","Russia"
"41",2013,"Mama","ok","PASS","Horror, Thriller",6.3,57,"Canada, Spain","PG-13",15000000,"Horror","Canada"
"42",2013,"Man of Steel","ok","PASS","Action, Adventure, Fantasy",7.4,55,"USA, Canada, UK","PG-13",225000000,"Action","USA"
"43",2013,"Nebraska","ok","PASS","Adventure, Drama",7.9,86,"USA","R",12000000,"Adventure","USA"
"44",2013,"Now You See Me","notalk","FAIL","Crime, Mystery, Thriller",7.3,50,"France, USA","PG-13",75000000,"Crime","France"
"45",2013,"Oblivion","men","FAIL","Action, Adventure, Mystery",7,54,"USA","PG-13",120000000,"Action","USA"
"46",2013,"Olympus Has Fallen","notalk","FAIL","Action, Thriller",6.5,41,"USA","R",70000000,"Action","USA"
"47",2013,"Oz the Great and Powerful","ok","PASS","Adventure, Family, Fantasy",6.4,44,"USA","PG",200000000,"Adventure","USA"
"48",2013,"Pacific Rim","notalk","FAIL","Action, Adventure, Sci-Fi",7.1,64,"USA","PG-13",190000000,"Action","USA"
"49",2013,"Pain &amp; Gain","notalk","FAIL",NA,NA,NA,NA,NA,26000000,NA,NA
"50",2013,"Parker","ok","PASS","Action, Crime, Thriller",6.2,43,"USA","R",35000000,"Action","USA"
"51",2013,"Percy Jackson: Sea of Monsters","ok","PASS","Adventure, Family, Fantasy",6,39,"USA","PG",90000000,"Adventure","USA"
"52",2013,"Prisoners","ok","PASS","Crime, Drama, Thriller",8.1,74,"USA","R",46000000,"Crime","USA"
"53",2013,"R.I.P.D.","notalk","FAIL","Action, Comedy, Crime",5.6,25,"USA","PG-13",130000000,"Action","USA"
"54",2013,"Red 2","ok","PASS",NA,NA,NA,NA,NA,84000000,NA,NA
"55",2013,"Riddick","notalk","FAIL","Action, Sci-Fi, Thriller",6.4,49,"USA, UK","R",38000000,"Action","USA"
"56",2013,"Runner Runner","nowomen","FAIL","Crime, Drama, Thriller",5.6,36,"USA","R",30000000,"Crime","USA"
"57",2013,"Rush","notalk","FAIL","Action, Biography, Drama",8.3,75,"USA, Germany, UK","R",38000000,"Action","USA"
"58",2013,"Safe Haven","ok","PASS","Drama, Mystery, Romance",6.7,34,"USA","PG-13",28000000,"Drama","USA"
"59",2013,"Saving Mr. Banks","ok","PASS","Biography, Comedy, Drama",7.7,65,"USA, UK, Australia","PG-13",35000000,"Biography","USA"
"60",2013,"Side Effects","ok","PASS","Crime, Drama, Thriller",7.1,75,"USA","R",30000000,"Crime","USA"
"61",2013,"Star Trek Into Darkness","notalk","FAIL","Action, Adventure, Sci-Fi",7.9,72,"USA","PG-13",190000000,"Action","USA"
"62",2013,"Texas Chainsaw 3D","ok","PASS","Horror, Thriller",4.8,NA,"USA","R",20000000,"Horror","USA"
"63",2013,"The Big Wedding","ok","PASS","Comedy",5.6,28,"USA","R",32500000,"Comedy","USA"
"64",2013,"The Book Thief","ok","PASS","Drama, War",7.7,53,"USA, Germany","PG-13",19000000,"Drama","USA"
"65",2013,"The Call","ok","PASS","Crime, Thriller",6.7,51,"USA","R",13000000,"Crime","USA"
"66",2013,"The Conjuring","ok","PASS","Horror, Thriller",7.6,68,"USA","R",20000000,"Horror","USA"
"67",2013,"The Counselor","ok","PASS","Crime, Drama, Thriller",5.5,48,"USA, UK","R",25000000,"Crime","USA"
"68",2013,"The Croods","men","FAIL","Animation, Adventure, Comedy",7.3,55,"USA","PG",135000000,"Animation","USA"
"69",2013,"The Family","men","FAIL","Comedy, Crime, Thriller",6.4,42,"USA, France","R",30000000,"Comedy","USA"
"70",2013,"The Fifth Estate","notalk","FAIL","Biography, Drama, Thriller",6.1,49,"USA, Belgium","R",26000000,"Biography","USA"
"71",2013,"The Frozen Ground","nowomen","FAIL","Biography, Crime, History",6.4,37,"USA","R",19200000,"Biography","USA"
"72",2013,"The Hangover part 3","men","FAIL",NA,NA,NA,NA,NA,103000000,NA,NA
"73",2013,"The Heat","ok","PASS","Action, Comedy, Crime",6.7,60,"USA","R",43000000,"Action","USA"
"74",2013,"The Hobbit: The Desolation of Smaug","notalk","FAIL","Adventure, Fantasy",8.2,66,"USA, New Zealand","PG-13",250000000,"Adventure","USA"
"75",2013,"The Hunger Games: Catching Fire","ok","PASS","Action, Adventure, Sci-Fi",7.9,75,"USA","PG-13",130000000,"Action","USA"
"76",2013,"The Incredible Burt Wonderstone","notalk","FAIL","Comedy",5.9,44,"USA","PG-13",32000000,"Comedy","USA"
"77",2013,"The Internship","notalk","FAIL","Comedy",6.4,42,"USA","PG-13",58000000,"Comedy","USA"
"78",2013,"The Last Exorcism Part II","ok","PASS","Drama, Horror, Thriller",3.9,35,"USA","PG-13",4000000,"Drama","USA"
"79",2013,"The Lone Ranger","notalk","FAIL","Action, Adventure, Western",6.6,37,"USA","PG-13",275000000,"Action","USA"
"80",2013,"The Mortal Instruments: City of Bones","ok","PASS","Action, Adventure, Drama",6,33,"USA, Germany, Canada","PG-13",60000000,"Action","USA"
"81",2013,"The Smurfs 2","ok","PASS","Animation, Comedy, Family",5.4,34,"USA","PG",110000000,"Animation","USA"
"82",2013,"The To Do List","ok","PASS","Comedy",5.8,61,"USA","R",1500000,"Comedy","USA"
"83",2013,"The Way Way Back","ok","PASS","Comedy, Drama",7.5,68,"USA","PG-13",5000000,"Comedy","USA"
"84",2013,"The Wolf of Wall Street","notalk","FAIL","Biography, Comedy, Crime",8.5,75,"USA","R",100000000,"Biography","USA"
"85",2013,"The Wolverine","ok","PASS","Action, Adventure, Fantasy",6.8,60,"USA, UK","PG-13",115000000,"Action","USA"
"86",2013,"The World&#39;s End","men","FAIL",NA,NA,NA,NA,NA,20000000,NA,NA
"87",2013,"This Is the End","notalk","FAIL","Comedy, Fantasy",6.9,67,"USA","R",32000000,"Comedy","USA"
"88",2013,"Trance","nowomen","FAIL","Crime, Drama, Mystery",7,61,"UK, France","R",16000000,"Crime","UK"
"89",2013,"Warm Bodies","men","FAIL","Comedy, Horror, Romance",7,59,"USA","PG-13",30000000,"Comedy","USA"
"90",2013,"We&#39;re the Millers","ok","PASS",NA,NA,NA,NA,NA,37000000,NA,NA
"91",2013,"White House Down","men","FAIL","Action, Drama, Thriller",6.4,52,"USA","PG-13",150000000,"Action","USA"
"92",2012,"Act of Valor","nowomen","FAIL","Action, Thriller, War",6.5,40,"USA","R",12175663,"Action","USA"
"93",2012,"Anna Karenina","men","FAIL","Drama",6.6,63,"UK","R",49717290,"Drama","UK"
"94",2012,"Argo","ok","PASS","Biography, Drama, History",7.8,86,"USA","R",45151416,"Biography","USA"
"95",2012,"Battleship","notalk","FAIL","Action, Adventure, Sci-Fi",5.9,41,"USA","PG-13",212059460,"Action","USA"
"96",2012,"Blue Like Jazz","ok","PASS","Comedy, Drama",6,48,"USA","PG-13",1217566,"Comedy","USA"
"97",2012,"Brave","ok","PASS","Animation, Action, Adventure",7.2,69,"USA","PG",187708135,"Animation","USA"
"98",2012,"Bullet to the Head","nowomen","FAIL","Action, Crime, Thriller",5.8,48,"USA","R",55805121,"Action","USA"
"99",2012,"Chernobyl Diaries","notalk","FAIL","Horror, Thriller",5,NA,"USA","R",1014639,"Horror","USA"
"100",2012,"Chronicle","notalk","FAIL","Drama, Sci-Fi, Thriller",7.1,69,"USA","PG-13",12175663,"Drama","USA"
"101",2012,"Cloud Atlas","ok","PASS","Adventure, Drama, Sci-Fi",7.6,55,"Germany, USA, Hong Kong, Singapore","R",103493134,"Adventure","Germany"
"102",2012,"Contraband","ok","PASS","Action, Crime, Drama",6.5,51,"USA, UK, France","R",25365964,"Action","USA"
"103",2012,"Django Unchained","notalk","FAIL","Adventure, Drama, Western",8.5,81,"USA","R",101463857,"Adventure","USA"
"104",2012,"Frankenweenie","nowomen","FAIL","Animation, Comedy, Family",7,74,"USA","PG",39570904,"Animation","USA"
"105",2012,"Hannibal","ok","PASS",NA,NA,NA,NA,NA,88273555,NA,NA
"106",2012,"Hotel Transylvania","ok","PASS","Animation, Comedy, Family",7.1,47,"USA","PG",86244278,"Animation","USA"
"107",2012,"Jack Reacher","notalk","FAIL","Action, Crime, Thriller",7,50,"USA","PG-13",60878314,"Action","USA"
"108",2012,"Jagten","men","FAIL",NA,NA,NA,NA,NA,3500503,NA,NA
"109",2012,"John Carter","ok","PASS","Action, Adventure, Fantasy",6.6,51,"USA","PG-13",279025606,"Action","USA"
"110",2012,"Killing Them Softly","nowomen","FAIL","Crime, Thriller",6.2,64,"USA","R",15219578,"Crime","USA"
"111",2012,"Les Miserables","ok","PASS",NA,NA,NA,NA,NA,65951507,NA,NA
"112",2012,"Life of Pi","notalk","FAIL","Adventure, Drama, Fantasy",8.1,79,"USA, Taiwan, UK","PG",121756628,"Adventure","USA"
"113",2012,"Lincoln","ok","PASS","Biography, Drama, History",7.5,86,"USA","PG-13",65951507,"Biography","USA"
"114",2012,"Madagascar 3: Europe&#39;s Most Wanted","men","FAIL",NA,NA,NA,NA,NA,147122592,NA,NA
"115",2012,"Men in Black III","notalk","FAIL",NA,NA,NA,NA,NA,218147292,NA,NA
"116",2012,"Moonrise Kingdom","ok","PASS","Comedy, Drama, Romance",7.8,84,"USA","PG-13",16234217,"Comedy","USA"
"117",2012,"One for the Money","ok","PASS","Action, Comedy, Crime",5.3,22,"USA","PG-13",42614820,"Action","USA"
"118",2012,"Paranormal Activity 4","ok","PASS","Horror",4.5,40,"USA","R",5073193,"Horror","USA"
"119",2012,"ParaNorman","notalk","FAIL","Animation, Adventure, Comedy",7,72,"USA","PG",60878314,"Animation","USA"
"120",2012,"Parental Guidance","ok","PASS","Comedy",6.1,36,"USA","PG",25365964,"Comedy","USA"
"121",2012,"People Like Us","ok","PASS","Drama",7.1,49,"USA","PG-13",16234217,"Drama","USA"
"122",2012,"Pitch Perfect","ok","PASS","Comedy, Music, Romance",7.3,66,"USA","PG-13",17248856,"Comedy","USA"
"123",2012,"Premium Rush","ok","PASS","Action, Crime, Thriller",6.5,66,"USA","PG-13",35512350,"Action","USA"
"124",2012,"Red Dawn","notalk","FAIL","Action, Thriller, War",5.5,31,"USA","PG-13",65951507,"Action","USA"
"125",2012,"Red Tails","men","FAIL","Action, Adventure, Drama",5.9,46,"USA","PG-13",58849037,"Action","USA"
"126",2012,"Rise of the Guardians","notalk","FAIL","Animation, Adventure, Family",7.3,57,"USA","PG",147122592,"Animation","USA"
"127",2012,"Rock of Ages","ok","PASS","Comedy, Drama, Musical",5.9,47,"USA","PG-13",71024700,"Comedy","USA"
"128",2012,"Safe","notalk","FAIL","Action, Crime, Thriller",6.5,55,"USA","R",33483073,"Action","USA"
"129",2012,"Safety Not Guaranteed","ok","PASS","Comedy, Drama, Romance",7.1,72,"USA","R",760979,"Comedy","USA"
"130",2012,"Seven Psychopaths","notalk","FAIL","Comedy, Crime, Thriller",7.2,66,"UK","R",13697621,"Comedy","UK"
"131",2012,"Silent Hill: Revelation 3D","ok","PASS","Horror, Mystery, Thriller",5.1,15,"France, USA, Canada","R",20292771,"Horror","France"
"132",2012,"Silver Linings Playbook","ok","PASS","Comedy, Drama, Romance",7.9,81,"USA","R",21307410,"Comedy","USA"
"133",2012,"Sinister","men","FAIL","Horror, Mystery, Thriller",6.8,53,"USA, UK","R",3043916,"Horror","USA"
"134",2012,"Snow White and the Huntsman","ok","PASS","Adventure, Drama, Fantasy",6.2,57,"USA","PG-13",172488556,"Adventure","USA"
"135",2012,"Sparkle","ok","PASS","Drama, Music",5.5,54,"USA","PG-13",10146386,"Drama","USA"
"136",2012,"Spring Breakers","ok","PASS","Crime, Drama",5.4,63,"USA","R",5073193,"Crime","USA"
"137",2012,"Step Up Revolution","ok","PASS","Drama, Music, Romance",6.5,43,"USA","PG-13",33483073,"Drama","USA"
"138",2012,"Supporting Characters","men","FAIL","Comedy",6.3,62,"USA","N/A",60878,"Comedy","USA"
"139",2012,"Ted","men","FAIL","Comedy, Fantasy",7.1,62,"USA","R",50731928,"Comedy","USA"
"140",2012,"That&#39;s My Boy","notalk","FAIL",NA,NA,NA,NA,NA,68488103,NA,NA
"141",2012,"The Amazing Spider-Man","men","FAIL","Action, Adventure, Fantasy",7.2,66,"USA","PG-13",223220484,"Action","USA"
"142",2012,"The Avengers","notalk","FAIL","Action, Fantasy",8.2,69,"USA","PG-13",60878314,"Action","USA"
"143",2012,"The Dark Knight Rises","notalk","FAIL","Action, Crime, Thriller",8.6,78,"USA, UK","PG-13",279025606,"Action","USA"
"144",2012,"The Devil Inside","ok","PASS","Horror",4.1,18,"USA","R",1014639,"Horror","USA"
"145",2012,"The Dictator","notalk","FAIL","Comedy",6.4,58,"USA","R",65951507,"Comedy","USA"
"146",2012,"The Expendables 2","ok","PASS","Action, Adventure, Thriller",6.8,51,"USA","R",101463857,"Action","USA"
"147",2012,"The Grey","nowomen","FAIL",NA,NA,NA,NA,NA,25365964,NA,NA
"148",2012,"The Hobbit: An Unexpected Journey","nowomen","FAIL","Adventure, Fantasy",8.1,58,"USA, New Zealand","PG-13",253659641,"Adventure","USA"
"149",2012,"The Hunger Games","ok","PASS","Adventure, Sci-Fi, Thriller",7.3,67,"USA","PG-13",81171085,"Adventure","USA"
"150",2012,"The Impossible","men","FAIL","Drama, History, Thriller",7.6,73,"Spain","PG-13",40585543,"Drama","Spain"
"151",2012,"The Man with the Iron Fists","notalk","FAIL","Action",5.4,51,"USA, Hong Kong","R",15219578,"Action","USA"
"152",2012,"The Master","notalk","FAIL","Drama",7.1,86,"USA","R",38048946,"Drama","USA"
"153",2012,"The Pirates! Band of Misfits","notalk","FAIL","Animation, Adventure, Comedy",6.7,NA,"UK, USA","PG",55805121,"Animation","UK"
"154",2012,"The Place Beyond the Pines","notalk","FAIL","Crime, Drama",7.4,68,"USA","R",15219578,"Crime","USA"
"155",2012,"The Vow","ok","PASS","Drama, Romance",6.8,43,"USA, France, Australia, UK, Germany","PG-13",8866236,"Drama","USA"
"156",2012,"The Watch","men","FAIL","Comedy, Sci-Fi",5.7,36,"USA","R",55805121,"Comedy","USA"
"157",2012,"The Woman in Black","notalk","FAIL","Drama, Horror, Thriller",6.5,62,"UK, Canada, Sweden","PG-13",15219578,"Drama","UK"
"158",2012,"The Words","notalk","FAIL","Drama, Mystery, Romance",7.1,37,"USA","PG-13",6087831,"Drama","USA"
"159",2012,"Think Like a Man","ok","PASS","Comedy, Romance",6.5,51,"USA","PG-13",12175663,"Comedy","USA"
"160",2012,"To Rome With Love","men","FAIL",NA,NA,NA,NA,NA,21814729,NA,NA
"161",2012,"Total Recall","notalk","FAIL","Action, Adventure, Sci-Fi",6.3,43,"USA, Canada","PG-13",126829821,"Action","USA"
"162",2012,"Underworld: Awakening","ok","PASS","Action, Fantasy, Horror",6.4,39,"USA","R",71024700,"Action","USA"
"163",2012,"Wanderlust","ok","PASS","Comedy",5.6,53,"USA","R",32975753,"Comedy","USA"
"164",2012,"What to Expect When You&#39;re Expecting","ok","PASS",NA,NA,NA,NA,NA,38048946,NA,NA
"165",2012,"Won&#39;t Back Down","ok","PASS",NA,NA,NA,NA,NA,19278133,NA,NA
"166",2012,"Wrath of the Titans","notalk","FAIL","Action, Adventure, Fantasy",5.8,37,"USA, Spain","PG-13",152195785,"Action","USA"
"167",2012,"Wreck-It Ralph","ok","PASS","Animation, Adventure, Comedy",7.8,72,"USA","PG",167415363,"Animation","USA"
"168",2012,"Zero Dark Thirty","ok","PASS","Drama, History, Thriller",7.4,95,"USA","R",53268525,"Drama","USA"
"169",2011,"30 Minutes or Less","notalk","FAIL","Action, Comedy, Crime",6.2,49,"Germany, Canada, USA","R",28999342,"Action","Germany"
"170",2011,"50/50","men","FAIL","Comedy, Drama",7.8,72,"USA","R",8285526,"Comedy","USA"
"171",2011,"A Lonely Place to Die","ok","PASS","Action, Adventure, Crime",6.3,NA,"UK","R",4142763,"Action","UK"
"172",2011,"A Very Harold &amp; Kumar 3D Christmas","notalk","FAIL",NA,NA,NA,NA,NA,20713816,NA,NA
"173",2011,"Another Earth","ok","PASS","Drama, Sci-Fi",7,66,"USA","PG-13",181246,"Drama","USA"
"174",2011,"Apollo 18","nowomen","FAIL","Horror, Sci-Fi, Thriller",5.2,24,"USA, Canada","PG-13",5178454,"Horror","USA"
"175",2011,"Arthur Christmas","notalk","FAIL","Animation, Comedy, Drama",7.1,69,"UK, USA","PG",88033717,"Animation","UK"
"176",2011,"Attack the Block","ok","PASS","Action, Comedy, Sci-Fi",6.6,75,"UK, France","R",13463980,"Action","UK"
"177",2011,"Bad Teacher","ok","PASS","Comedy",5.7,47,"USA","R",19678125,"Comedy","USA"
"178",2011,"Battle: Los Angeles","notalk","FAIL",NA,NA,NA,NA,NA,72498355,NA,NA
"179",2011,"Beastly","notalk","FAIL","Drama, Fantasy, Romance",5.5,40,"USA","PG-13",17606743,"Drama","USA"
"180",2011,"Blackthorn","notalk","FAIL","Action, Adventure, Western",6.6,61,"Spain, USA, Bolivia, France","R",4660609,"Action","Spain"
"181",2011,"Bridesmaids","ok","PASS","Comedy, Romance",6.9,75,"USA","R",33659951,"Comedy","USA"
"182",2011,"Captain America: The First Avenger","notalk","FAIL","Action, Adventure, Sci-Fi",6.8,66,"USA","PG-13",144996710,"Action","USA"
"183",2011,"Cars 2","men","FAIL","Animation, Adventure, Comedy",6.4,57,"USA","G",207138157,"Animation","USA"
"184",2011,"Circumstance","ok","PASS","Drama",6,65,"France, USA, Iran","R",932122,"Drama","France"
"185",2011,"Colombiana","notalk","FAIL","Action, Crime, Drama",6.4,45,"France","PG-13",41427631,"Action","France"
"186",2011,"Contagion","ok","PASS","Drama, Sci-Fi, Thriller",6.7,70,"USA, United Arab Emirates","PG-13",62141447,"Drama","USA"
"187",2011,"Coriolanus","men","FAIL","Drama, Thriller, War",6.1,79,"UK","R",10356908,"Drama","UK"
"188",2011,"Cowboys &amp; Aliens","notalk","FAIL",NA,NA,NA,NA,NA,168817598,NA,NA
"189",2011,"Detention","ok","PASS","Comedy, Horror, Sci-Fi",5.8,45,"USA","R",10356908,"Comedy","USA"
"190",2011,"Diary of a Wimpy Kid: Rodrick Rules","notalk","FAIL","Comedy, Family",6.6,51,"USA","PG",18642434,"Comedy","USA"
"191",2011,"Dolphin Tale","men","FAIL","Drama, Family",6.9,64,"USA","PG",38320559,"Drama","USA"
"192",2011,"Dream House","ok","PASS","Drama, Mystery, Thriller",5.9,35,"USA, Canada","PG-13",51784539,"Drama","USA"
"193",2011,"Fast Five","ok","PASS","Action, Crime, Thriller",7.3,67,"USA","PG-13",129461348,"Action","USA"
"194",2011,"Final Destination 5","men","FAIL","Horror, Thriller",5.9,50,"USA, Canada","R",41427631,"Horror","USA"
"195",2011,"Footloose","ok","PASS","Comedy, Drama, Music",5.8,58,"USA","PG-13",24856579,"Comedy","USA"
"196",2011,"Green Lantern","notalk","FAIL","Action, Adventure, Sci-Fi",5.7,39,"USA","PG-13",207138157,"Action","USA"
"197",2011,"Hall Pass","men","FAIL","Comedy, Romance",5.9,45,"USA","R",37284868,"Comedy","USA"
"198",2011,"Hanna","ok","PASS","Action, Adventure, Thriller",6.8,65,"USA, UK, Germany","PG-13",31070724,"Action","USA"
"199",2011,"Harry Potter and the Deathly Hallows: Part 2","notalk","FAIL","Adventure, Fantasy, Mystery",8.1,87,"USA, UK","PG-13",129461348,"Adventure","USA"
"200",2011,"Haywire","nowomen","FAIL","Action, Thriller",5.8,67,"USA, Ireland","R",23820888,"Action","USA"
"201",2011,"Hesher","notalk","FAIL",NA,NA,NA,NA,NA,7249836,NA,NA
"202",2011,"Higher Ground","ok","PASS","Drama",6.3,74,"USA","R",1864243,"Drama","USA"
"203",2011,"Hobo with a Shotgun","nowomen","FAIL","Action, Comedy, Thriller",6.1,55,"Canada","Not Rated",3107072,"Action","Canada"
"204",2011,"Hop","men","FAIL","Animation, Comedy, Family",5.5,41,"USA","PG",65248520,"Animation","USA"
"205",2011,"Horrible Bosses","ok","PASS","Comedy, Crime",6.9,57,"USA","R",36249178,"Comedy","USA"
"206",2011,"I Am Number Four","notalk","FAIL","Drama, Romance, Sci-Fi",6.1,36,"USA","PG-13",51784539,"Drama","USA"
"207",2011,"Immortals","men","FAIL","Action, Drama, Fantasy",6.1,46,"USA","R",77676809,"Action","USA"
"208",2011,"In Time","notalk","FAIL","Action, Sci-Fi, Thriller",6.6,53,"USA","PG-13",36249178,"Action","USA"
"209",2011,"Iris","ok","PASS","Drama, Family, History",6.3,NA,"Finland, Sweden","N/A",5696299,"Drama","Finland"
"210",2011,"Jin ling shi san chai","ok","PASS",NA,NA,NA,NA,NA,103569079,NA,NA
"211",2011,"Jumping the Broom","ok","PASS","Comedy, Drama",5.5,56,"USA","PG-13",7249836,"Comedy","USA"
"212",2011,"Killer Elite","nowomen","FAIL","Action, Crime, Thriller",6.5,44,"UK, Australia","R",72498355,"Action","UK"
"213",2011,"Kung Fu Panda 2","ok","PASS","Animation, Action, Adventure",7.4,67,"USA","PG",155353618,"Animation","USA"
"214",2011,"Like Crazy","ok","PASS","Drama, Romance",6.7,71,"USA","PG-13",258923,"Drama","USA"
"215",2011,"Limitless","notalk","FAIL","Mystery, Sci-Fi, Thriller",7.4,59,"USA","PG-13",27963651,"Mystery","USA"
"216",2011,"Margaret","ok","PASS","Drama",6.4,61,"USA","R",14499671,"Drama","USA"
"217",2011,"Margin Call","notalk","FAIL","Drama, Thriller",7.1,76,"USA","R",3521349,"Drama","USA"
"218",2011,"Martha Marcy May Marlene","ok","PASS","Drama, Thriller",7,76,"USA","R",1035691,"Drama","USA"
"219",2011,"Melancholia","ok","PASS","Drama, Sci-Fi",7.1,80,"Denmark, Sweden, France, Germany","R",9735493,"Drama","Denmark"
"220",2011,"Midnight in Paris","ok","PASS","Comedy, Fantasy, Romance",7.7,81,"Spain, USA","PG-13",31070724,"Comedy","Spain"
"221",2011,"Mission: Impossible - Ghost Protocol","notalk","FAIL","Action, Thriller",7.4,73,"USA, United Arab Emirates, Czech Republic","PG-13",150175164,"Action","USA"
"222",2011,"Moneyball","notalk","FAIL","Biography, Drama, Sport",7.6,87,"USA","PG-13",51784539,"Biography","USA"
"223",2011,"Mr. Popper&#39;s Penguins","notalk","FAIL",NA,NA,NA,NA,NA,56962993,NA,NA
"224",2011,"New Year&#39;s Eve","ok","PASS",NA,NA,NA,NA,NA,26927960,NA,NA
"225",2011,"No Strings Attached","ok","PASS","Comedy, Romance",6.2,50,"USA","R",25892270,"Comedy","USA"
"226",2011,"October Baby","ok","PASS","Drama",6.7,32,"USA","PG-13",1035691,"Drama","USA"
"227",2011,"Our Idiot Brother","ok","PASS","Comedy, Drama",6.5,60,"USA","R",5178454,"Comedy","USA"
"228",2011,"Paranormal Activity 3","ok","PASS","Horror",5.9,59,"USA","R",5178454,"Horror","USA"
"229",2011,"Paul","ok","PASS","Adventure, Comedy, Sci-Fi",7.1,57,"USA, UK","R",41427631,"Adventure","USA"
